name,full_name,scope,url,license,source
MASON,MAnufacturing's Semantics ONtology,"Upper/domain ontology for manufacturing (entities, operations, resources; OWL-DL)",https://sourceforge.net/projects/mason-onto/,unverified,https://sourceforge.net/projects/mason-onto/
IOF-Core,Industrial Ontologies Foundry Core Ontology,BFO-aligned mid-level ontology of terms common across manufacturing operations,https://spec.industrialontologies.org/iof/ontology/core/Core/,MIT,https://github.com/iofoundry/ontology
IOF-Maintenance,IOF Maintenance Reference Ontology,IOF/BFO-aligned modular ontology for industrial maintenance (OWL 2 DL),https://spec.industrialontologies.org/iof/ontology/maintenance/Maintenance/,MIT,https://github.com/iofoundry/ontology
IOF-SupplyChain,IOF Supply Chain Reference Ontology (SCRO),IOF Core extension for supply chain & logistics interoperability,https://github.com/iofoundry/ontology,MIT,https://github.com/iofoundry/ontology
P-PSO,Politecnico di Milano Production Systems Ontology,"Meta-model/domain ontology of production systems (discrete + process, logistics)",https://link.springer.com/chapter/10.1007/978-3-319-22759-7_56,unverified,https://link.springer.com/chapter/10.1007/978-3-319-22759-7_56
MSDL,Manufacturing Service Description Language,OWL-DL ontology for manufacturing service/capability description & supplier matchmaking,https://labs.engineering.asu.edu/semantics/ontology-download/msdl-ontology/,unverified,https://labs.engineering.asu.edu/semantics/ontology-download/msdl-ontology/
ADACOR,ADAptive holonic COntrol aRchitecture core ontology,DOLCE-aligned ontology for holonic/distributed manufacturing control,https://www.researchgate.net/publication/226253278_Foundations_for_a_Core_Ontology_of_Manufacturing,unverified,https://www.researchgate.net/publication/226253278_Foundations_for_a_Core_Ontology_of_Manufacturing
ONTO-PDM,Product-driven ONTOlogy for Product Data Management,Product-centric ontology for PDM / product-lifecycle interoperability,https://doi.org/10.1016/j.aei.2011.12.002,unverified,https://hal.science/hal-00650352
PRONTO,"PRoduct ONTOlogy (Vegetti, Henning & Leone)",Domain ontology for product information modelling (variants/BOMs),https://www.sciencedirect.com/science/article/abs/pii/S0952197611000388,unverified,https://www.sciencedirect.com/science/article/abs/pii/S0952197611000388
MaRCO,Manufacturing Resource Capability Ontology,OWL ontology for resource capabilities + inference of combined capabilities,https://doi.org/10.1007/s10845-018-1427-6,unverified,https://link.springer.com/article/10.1007/s10845-018-1427-6
OntoCAPE,OntoCAPE,Large-scale formal ontology for Computer-Aided Process Engineering,https://www.avt.rwth-aachen.de/cms/avt/forschung/sonstiges/software/~ipts/ontocape/,unverified,https://link.springer.com/book/10.1007/978-3-642-04655-1
AAS-RDF,Asset Administration Shell RDF/OWL Ontology,Semantic (RDF/OWL) representation of the Industrie 4.0 AAS metamodel,https://github.com/admin-shell-io/aas-specs-metamodel,unverified,https://github.com/admin-shell-io/aas-specs-metamodel
SAREF,Smart Applications REFerence ontology (Core),ETSI core ontology for smart appliances/IoT interoperability,https://saref.etsi.org/core/,ETSI (open),https://saref.etsi.org/
SAREF4INMA,SAREF extension for Industry and Manufacturing,"ETSI TS 103 410-5 extension (equipment, items, batches, traceability)",https://saref.etsi.org/saref4inma/,ETSI (open),https://www.etsi.org/deliver/etsi_ts/103400_103499/10341005/
SSN,Semantic Sensor Network Ontology,"W3C/OGC standard ontology for sensors, observations, sampling, actuation",https://www.w3.org/TR/vocab-ssn/,W3C Document License,https://www.w3.org/TR/vocab-ssn/
SOSA,"Sensor, Observation, Sample, and Actuator",Lightweight self-contained core of SSN (W3C Recommendation),https://www.w3.org/ns/sosa/,W3C Document License,https://www.w3.org/TR/vocab-ssn/
BFO,Basic Formal Ontology (2020),Top-level/upper ontology (ISO/IEC 21838-2); foundation for IOF,https://basic-formal-ontology.org/bfo-2020.html,open (BSD/CC),http://obofoundry.org/ontology/bfo.html
CCO,Common Core Ontologies,BFO-aligned mid-level ontology suite bridging BFO to domain ontologies,https://github.com/CommonCoreOntology/CommonCoreOntologies,BSD-3-Clause,https://github.com/CommonCoreOntology/CommonCoreOntologies
ifcOWL,Industry Foundation Classes (OWL),OWL ontology of the IFC built-environment/AEC data model (ISO 16739),https://technical.buildingsmart.org/standards/ifc/,unverified,https://technical.buildingsmart.org/standards/ifc/
DOLCE,Descriptive Ontology for Linguistic and Cognitive Engineering,Foundational/top-level ontology (LOA-ISTC-CNR),https://www.loa.istc.cnr.it/index.php/dolce/,unverified,https://www.loa.istc.cnr.it/index.php/dolce/
OntoSTEP,OntoSTEP (NIST),OWL-DL ontology/translation of ISO 10303 STEP product model data,https://www.nist.gov/services-resources/software/ontostep-plugin,US Govt / public domain,https://www.nist.gov/services-resources/software/ontostep-plugin
Brick,Brick Schema,Ontology for buildings/facility automation systems & assets (smart-factory facility layer),https://brickschema.org/,BSD-3-Clause,https://github.com/BrickSchema/Brick
OPC-UA-ODP,OPC UA NodeSet / Ontology Design Pattern (OWL),OWL ontologies mapping OPC UA information models & companion specs to RDF/OWL,https://github.com/hsu-aut/IndustrialStandard-ODP-OPC-UA,unverified,https://journals.sagepub.com/doi/10.3233/SW-233342
IndustryPortal,IndustryPortal - FAIR ontology repository for Industry 4.0,"AgroPortal-based registry hosting/curating industrial ontologies (registry hub, not an ontology)",https://industryportal.enit.fr/,n/a (repository),https://industryportal.enit.fr/
