id,year,title,authors,venue,type,doi,url,tags
cen2026bottleneck,2026,Event driven causal knowledge graphs for bottleneck root cause analysis in manufacturing systems,"Cen, W.; Su, C.; Chen, G.; Xie, L.",Expert Systems with Applications,journal,10.1016/j.eswa.2025.129117,https://doi.org/10.1016/j.eswa.2025.129117,root-cause; quality-control
hoang2026processplanning,2026,"Knowledge graph fusion with large language models for accurate, explainable manufacturing process planning","Hoang, D.; Gorsich, D.; Castanier, M. P.; Imani, F.",International Journal of Production Economics,journal,10.1016/j.ijpe.2026.110091,https://doi.org/10.1016/j.ijpe.2026.110091,llm-rag; process-planning; explainability
kang2026maintenance,2026,Knowledge graphs for operational decision-making in industrial maintenance: A systematic review,"Kang, R.; Zhu, J.; Green, S.; Brilakis, I.",Expert Systems with Applications,journal,10.1016/j.eswa.2025.130172,https://doi.org/10.1016/j.eswa.2025.130172,survey; predictive-maintenance
bahr2025fmea,2025,Knowledge graph enhanced retrieval-augmented generation for failure mode and effects analysis,"Bahr, L.; Wehner, C.; Wewerka, J.; Bittencourt, J.; Schmid, U.; Daub, R.",Journal of Industrial Information Integration,journal,10.1016/j.jii.2025.100807,https://doi.org/10.1016/j.jii.2025.100807,llm-rag; quality-control; root-cause
jiang2025dtmultilayer,2025,Digital twin system for manufacturing processes based on a multi-layer knowledge graph model,"Jiang, D.; et al.",Scientific Reports,journal,10.1038/s41598-024-85053-0,https://doi.org/10.1038/s41598-024-85053-0,digital-twin; process-planning
knollmeyer2025graphrag,2025,Document GraphRAG: Knowledge Graph Enhanced Retrieval Augmented Generation for Document Question Answering Within the Manufacturing Domain,"Knollmeyer, S.; Caymazer, O.; Grossmann, D.",Electronics (MDPI),journal,10.3390/electronics14112102,https://doi.org/10.3390/electronics14112102,llm-rag
pei2025disturbance,2025,Knowledge-graph-enhanced disturbance control in manufacturing systems: a state-of-the-art review,"Pei, F.; Jiang, R.; Zhuang, C.; Liu, J.; Yuan, M.",International Journal of Computer Integrated Manufacturing,journal,10.1080/0951192X.2025.2509324,https://doi.org/10.1080/0951192X.2025.2509324,survey; root-cause
qin2025scheduling,2025,Knowledge graph-enhanced multi-agent reinforcement learning for adaptive scheduling in smart manufacturing,"Qin, Z.; Lu, Y.",Journal of Intelligent Manufacturing,journal,10.1007/s10845-024-02494-0,https://doi.org/10.1007/s10845-024-02494-0,process-planning; gnn-embedding; interoperability
jiang2024supplychain,2024,Enhancing Supply Chain Visibility with Knowledge Graphs and Large Language Models,"Jiang, S.; et al.",arXiv,preprint,10.48550/arXiv.2408.07705,https://doi.org/10.48550/arXiv.2408.07705,supply-chain; llm-rag
pan2024llmkg,2024,Unifying Large Language Models and Knowledge Graphs: A Roadmap,"Pan, S.; Luo, L.; Wang, Y.; Chen, C.; Wang, J.; Wu, X.",IEEE Transactions on Knowledge and Data Engineering,journal,10.1109/TKDE.2024.3352100,https://doi.org/10.1109/TKDE.2024.3352100,survey; llm-rag; gnn-embedding
su2024cognitivetwin,2024,Cognitive digital twin in manufacturing process: integrating the knowledge graph for enhanced human-centric Industry 5.0,"Su, C.; Tang, X.; Han, Y.; Wang, T.; Jiang, D.",International Journal of Production Research,journal,10.1080/00207543.2024.2435583,https://doi.org/10.1080/00207543.2024.2435583,digital-twin; ontology
wan2024smartmfg,2024,"Making knowledge graphs work for smart manufacturing: Research topics, applications and prospects","Wan, Y.; Liu, Y.; Chen, Z.; Chen, C.; Li, X.; Hu, F.; Packianather, M.",Journal of Manufacturing Systems,journal,10.1016/j.jmsy.2024.07.009,https://doi.org/10.1016/j.jmsy.2024.07.009,survey; gnn-embedding; interoperability
