name,full_name,purpose,body,url,source
RAMI 4.0,Reference Architecture Model Industrie 4.0 (DIN SPEC 91345:2016),"3D reference architecture structuring I4.0 assets across lifecycle, hierarchy, layers",Plattform Industrie 4.0 / ZVEI / DIN,https://www.plattform-i40.de/IP/Redaktion/EN/Downloads/Publikation/rami40-an-introduction.html,https://webstore.ansi.org/standards/din/DINSPEC913452016
AAS,Asset Administration Shell - IEC 63278-1:2023,Standardized digital-twin / interoperable digital representation of industrial assets,IEC TC 65 / IDTA,https://webstore.iec.ch/en/publication/65628,https://webstore.iec.ch/en/publication/65628
OPC UA,IEC 62541 (OPC Unified Architecture),Platform-independent service-oriented communication & information modeling for industry,OPC Foundation / IEC TC 65,https://opcfoundation.org/about/opc-technologies/opc-ua/,https://opcfoundation.org/about/opc-technologies/opc-ua/
ISA-95,IEC 62264 / ANSI-ISA-95,Models & terminology for integrating enterprise (ERP) and control (MES) systems,ISA / IEC TC 65,https://www.isa.org/standards-and-publications/isa-standards/isa-95-standard,https://www.isa.org/standards-and-publications/isa-standards/isa-95-standard
ISA-88,IEC 61512 / ANSI-ISA-88,"Reference models & terminology for batch process control (recipes, equipment)",ISA / IEC TC 65,https://www.isa.org/standards-and-publications/isa-standards/isa-88-standards,https://webstore.iec.ch/en/publication/5528
IEC 61499,IEC 61499 Function blocks,"Event-driven function-block architecture for distributed, reconfigurable control",IEC TC 65,https://webstore.iec.ch/en/publication/5506,https://webstore.iec.ch/en/publication/5506
AutomationML,IEC 62714,Open XML/CAEX-based format for exchanging engineering data across tools,IEC TC 65 / AutomationML e.V.,https://www.automationml.org/about-automationml/specifications/,https://www.automationml.org/about-automationml/specifications/
ECLASS,ECLASS classification standard (ISO 13584 / IEC 61360 compliant),Standardized classification system & property dictionary for product master data,ECLASS e.V.,https://eclass.eu/en/,https://eclass.eu/en/
ISO 10303 (STEP),ISO 10303 - Product data representation and exchange,Computer-interpretable representation & exchange of product data (CAD/CAM/PDM),ISO TC 184/SC 4,https://www.iso.org/standard/72237.html,https://www.iso.org/standard/72237.html
ISO 15926,ISO 15926 - Integration of life-cycle data for process plants,Conceptual data model & reference data for process-plant lifecycle information,ISO TC 184/SC 4,https://www.iso.org/standard/29557.html,https://www.iso.org/standard/29557.html
MTConnect,ANSI/MTC1.4 (MTConnect Standard),"Open, royalty-free XML semantic vocabulary/protocol to read data from equipment",MTConnect Institute (AMT),https://www.mtconnect.org/,https://www.mtconnect.org/about
QIF,Quality Information Framework (ISO 23952:2020),Unified XML framework for exchanging metrology/quality information across the MBE lifecycle,DMSC / ISO,https://qifstandards.org/,https://www.iso.org/standard/77461.html
RDF,RDF 1.1 Concepts and Abstract Syntax,Graph-based data model of subject-predicate-object triples,W3C,https://www.w3.org/TR/rdf11-concepts/,https://www.w3.org/TR/rdf11-concepts/
RDF 1.2 / RDF-star,RDF 1.2 Concepts and Abstract Data Model,Adds triple terms (statements about statements) for edge-level metadata,W3C,https://www.w3.org/TR/rdf12-concepts/,https://www.w3.org/TR/rdf12-concepts/
OWL 2,OWL 2 Web Ontology Language,Formal ontology language for the Semantic Web with defined semantics,W3C,https://www.w3.org/TR/owl2-overview/,https://www.w3.org/TR/owl2-overview/
SHACL,Shapes Constraint Language,Language for validating RDF graphs against constraints expressed as shapes,W3C,https://www.w3.org/TR/shacl/,https://www.w3.org/TR/shacl/
SPARQL 1.1,SPARQL 1.1 Query Language,Query language and protocol for retrieving and manipulating RDF data,W3C,https://www.w3.org/TR/sparql11-query/,https://www.w3.org/TR/sparql11-query/
PROV-O,PROV-O: The PROV Ontology,OWL 2 ontology for representing & interchanging provenance,W3C,https://www.w3.org/TR/prov-o/,https://www.w3.org/TR/prov-o/
